Step,Average Fitness,Survival Time,Minerals,Gas,Depth,Size,Best Individual,Best Fitness
59,13170.875,177.2749939,2686.5,1246.75,12.94,137.42,Q(B(MaMMMa)EQ(Q(Q(EMaMSt)Q(Q(StStStE)EQ(MStEMa)E)Q(MaMMaQ(Q(StQ(MaMaMQ(B(MaMEE)Q(EMaMaE)Q(MaMaStE)Q(StB(MMEE)ME)))StE)Q(MMMaB(EMMMa))Q(MMMB(EEMaE))Q(B(MaMEM)StME)))Q(StStStE))MaB(EMMMa)Q(Q(Q(StMStE)EQ(MMMM)Q(B(MMEM)StME))StMaM))E),15750
60,13101.125,176.6750031,2676,1260.25,13.96,147.38,Q(B(MMMaMa)EQ(Q(Q(EMaEB(EMaMaE))Q(Q(StEStE)EQ(MStEMa)St)Q(StMaMQ(Q(StQ(StMaEE)StQ(Q(MEEMa)Q(StMStMa)Q(B(MaMMM)StStE)St))Q(Q(Q(EMaESt)MaMaQ(Q(Q(MEEMa)Q(Q(EEESt)MaMaQ(Q(EStQ(MaQ(EQ(EB(MMEM)B(MaEEE)Ma)Q(Q(Q(B(MaMaME)B(MaEEMa)StQ(Q(B(MMMM)EStB(MMaMaMa))Q(StEStMa)Q(EB(MMaMM)StE)Q(MMMMa)))Q(B(MaMMaM)MaMaM)Q(StStMMa)Q(EEStMa))MaMB(EEMaE))Q(StEB(MEMaE)St))StMa)Q(StMEE))EStQ(Q(EQ(StMaStM)Q(B(MaMMM)StME)Q(StMaEE))EESt)))Q(B(MaMMM)StStE)St)MaStSt))MMaB(EMMMa))EB(MaMEE)))Q(StStStE))EB(EMMMa)Q(Q(Q(StStStE)EQ(MMMSt)Q(B(MaMEM)StME))MaMaM))E),15812.5
61,12137.625,165.1000061,2581,1194.25,11.85,126.92,Q(B(MaMMMa)EQ(Q(Q(EMaMSt)Q(Q(StStEE)EQ(MStStMa)E)Q(MaStStQ(Q(StQ(MaMaMQ(B(MaMEE)Q(EMaMaE)MQ(MB(MMEE)ME)))StE)Q(MMMaB(EMMMa))Q(MMMB(MaMMaM))Q(B(MaMEM)StME)))Q(StStStE))MaB(EMMMa)Q(Q(Q(StStStE)EQ(MMMM)M)StMaM))E),16050
62,12404.58887,171.2321472,2748,1313.75,11.52,124.27,Q(B(MMMaMa)EQ(Q(Q(EMaEB(EMaMaE))Q(Q(StEStE)EQ(MStEMa)St)Q(StMaMQ(Q(StQ(StMaEE)StQ(Q(MEEMa)Q(StMStMa)Q(B(MaMMM)StStE)St))Q(Q(Q(EMaESt)MaMaQ(Q(Q(MEEMa)Q(Q(EEESt)MaMaQ(Q(EStQ(MaQ(EQ(EB(MMEM)B(MaEEE)Ma)Q(Q(Q(B(MaMaME)B(MaEEMa)StQ(Q(Q(EMaESt)EStB(MMaMaMa))Q(StEStMa)Q(EB(MMaMM)StE)Q(MMMMa)))Q(B(MaMMaM)MaMaM)Q(StStMMa)Q(EEStMa))MaMB(EEMaE))Q(StEB(MEMaE)St))StMa)Q(StMEE))EStQ(Q(EMQ(B(MaMMM)StME)Q(StMaEE))EESt)))Q(Q(Q(MEMSt)Q(MaMMM)Q(MB(MaMME)B(MMEM)M)Q(StMaStSt))StStE)St)MaStSt))MMaB(EMMMa))EB(MaMEE)))Q(StStStE))EB(EMMMa)Q(Q(Q(StStStE)EQ(MMMSt)Q(B(MaMEM)StME))MaMaM))E),15812.5
63,12632.92871,173.4142914,2743.5,1310,11.3,120.69,Q(B(MMMaMa)EQ(Q(Q(EMaEB(EMaMaE))Q(Q(StEStE)EQ(MStEMa)St)Q(StMaMQ(Q(StQ(StMaEE)StQ(Q(MEEMa)Q(StMStMa)Q(B(MaMMM)StStE)St))Q(Q(Q(EMaQ(Q(EMMaSt)Q(MaEMaSt)Q(EMaEM)Q(MStStB(EEMaE)))St)MaMaQ(Q(EQ(Q(EEESt)MaMaQ(Q(EStQ(MaQ(EQ(EB(MMEM)B(MaEEE)Ma)Q(Q(Q(B(MaMaME)B(MaEEMa)StQ(Q(Q(EMaESt)EStB(MMaMaMa))Q(StEStMa)Q(EB(MMaMM)StE)Q(MMMMa)))Q(B(MaMMaM)MaMaM)Q(StStMMa)Q(EEStMa))MaMB(EEMaE))Q(StEB(MEMaE)St))StMa)Q(StMEE))EStQ(Q(EMQ(B(MaMMM)StME)Q(StMaEE))EESt)))Q(Q(Q(MEMSt)Q(MaMMM)Q(MB(MaMME)B(MMEM)M)Q(StMaStSt))StStE)St)MaStSt))MMaB(EMMMa))EB(MaMEE)))Q(StStStE))EB(EMMMa)Q(Q(Q(StStStE)EQ(MMMSt)Q(B(MaMEM)StME))MaMaM))E),15812.5
64,11733.46387,168.0821381,2954.5,1413.5,11.39,124.51,Q(B(MaMMMa)EQ(Q(Q(EMaMSt)Q(Q(StStStE)EQ(MStEQ(Q(B(MaMMM)EMaMa)Q(StMaB(MMaME)B(EMME))Q(MaStB(EMaEE)St)Q(MB(EEMM)ESt)))E)Q(MaQ(Q(MaEMSt)Q(MaMMaM)Q(MMaB(MMEMa)E)Q(EMMMa))MaQ(Q(StQ(MaMaMQ(B(MaMEE)Q(EMaMaE)Q(MaMaStE)Q(StB(MMEE)MM)))StE)Q(MMQ(Q(EMMaB(EMaMMa))Q(MaB(MMMaMa)StM)Q(MaMB(MMaEE)E)Q(B(MMaMMa)Q(Q(EMaESt)MaMaQ(Q(Q(MEEMa)Q(StMMMa)Q(B(MaMMM)StStE)St)MaStSt))ESt))B(EMMMa))Q(MMMB(MEMaE))Q(B(MaMEM)StME)))Q(StStStE))MaB(EMME)Q(Q(Q(StStStE)EQ(MMMM)Q(B(MMEM)StME))StMaM))E),15737.5
65,12309.96387,170.9571381,2776.5,1339.5,11.57,124.75,Q(B(MaMMMa)EQ(Q(Q(EMaMSt)Q(Q(StStEE)EQ(MQ(Q(StEStE)EESt)EMa)E)Q(MaQ(Q(MEEB(EMaEMa))Q(MaMMaM)Q(B(MaMaMaE)EB(EMaEM)B(MaMaMaMa))Ma)MaQ(Q(StQ(MaMaMQ(B(MaMEM)Q(EMaME)Q(MaMaStE)Q(MB(MMEE)ME)))StE)Q(MMMaB(EMMMa))Q(MMMQ(StStStMa))Q(B(MaMEM)StME)))Q(StStStE))MaB(EMME)Q(Q(Q(StStStE)EQ(MMMM)Q(B(EMEM)StME))StMaM))E),15787.5
66,12111.30371,169.4892883,2804,1355.75,10.88,120.76,Q(Q(Q(MB(EMMMa)MaSt)Q(MaStEMa)Q(MaB(MEEE)MB(EEMMa))Q(MMStSt))EQ(Q(Q(StMaMSt)Q(Q(StEStE)MaESt)Q(StMaMaQ(Q(StStStE)Q(Q(EMaMaQ(Q(Q(MEEMa)MaQ(EStStE)Q(Q(MaB(MaMMaM)MaMa)Q(MMMaMa)Q(StStESt)Q(MEStSt)))MaStSt))MMaB(EMMaMa))EQ(B(MaMEM)StEE)))Q(StStEE))EB(EMMMa)Q(Q(Q(StStStE)EQ(MMESt)Q(B(MaMEM)StEE))MaMaM))E),15912.5
67,12100.35742,170.8285675,2884,1399,11.28,132.24,Q(Q(Q(MB(EMMMa)MaSt)Q(MaStEMa)Q(MaB(MEEE)MM)Q(MMStSt))EQ(Q(Q(StMaMSt)Q(Q(StEStE)MaESt)Q(StMaMaQ(Q(StStStE)Q(Q(EMaMaQ(Q(Q(MEEMa)MaQ(EStStE)Q(Q(MaB(MaMMaM)MaMa)Q(MMMaMa)Q(StStESt)Q(MEStSt)))MaStSt))MMaB(EMMaMa))EQ(B(MaMEM)StEE)))Q(StStEE))EB(EMMMa)Q(Q(Q(StStStE)EQ(MMESt)Q(B(MaMEM)StEE))MaMaM))E),15912.5
68,12483.91113,174.2928619,2860,1390.25,11.4,138.25,Q(EMaQ(StMaMaQ(Q(Q(Q(Q(EEB(MaEEM)St)MaMaQ(Q(EEQ(MaMaStMa)Q(StMESt))EStQ(Q(EQ(StMStM)Q(B(MaEMM)StME)Q(StMaMaE))StStQ(MEEMa))))Q(MMMaB(EMMMa))Q(MMStSt)Q(B(MaMEM)StME))Q(StStStMa)Q(MStStE)Q(StMaEE))MaStSt))B(MaMEM)),15825
